lhs,rhs,metric,n_runs,mean_diff,std_diff,ci95_low,ci95_high,p_paired_t,p_wilcoxon,cliffs_delta,cohens_dz
LRA-NPP,Retrain,At,5,0.0526,0.04513579510765264,0.017920000000000002,0.0878,0.05967965720742717,0.0625,1.0,1.1653721813151758
LRA-NPP,Retrain,Ag,5,-0.0013511111111111473,0.0029673282658036083,-0.0032533333333333745,0.0011866666666666692,0.36618053329648004,0.4375,-0.28,-0.4553291682223911
LRA-NPP,Retrain,Fr,5,-0.028600000000000004,0.036241205829828566,-0.05820000000000001,-0.0018000000000000017,0.15239502077781145,0.14412703481601533,-0.44,-0.7891569649832286
LRA-NPP,Retrain,Fs,5,0.015500000000000059,0.007976528066771899,0.008900000000000042,0.02150000000000003,0.012203650089065052,0.0625,1.0,1.9432013365024
LRA-NPP,Retrain,G,5,-2.4445685386657714,0.08132608271278864,-2.481514835357666,-2.3717623710632325,2.9354938439995855e-07,0.0625,-1.0,-30.05885021290174
LRA-NPP,Retrain,Time,5,-192.2539316177368,28.12663572338988,-216.76591629981993,-172.68394875526428,0.00010687795475546144,0.0625,-1.0,-6.835297811954809
LRA-NPP,Noise-GN,At,5,-0.8888400000000001,0.13127996039000014,-0.9732,-0.77532,0.00011096424210630025,0.0625,-1.0,-6.770568770431353
LRA-NPP,Noise-GN,Ag,5,0.18506222222222218,0.04290274502714478,0.14726666666666666,0.21890666666666664,0.000646223674564166,0.0625,1.0,4.313528705567264
LRA-NPP,Noise-GN,Fr,5,0.9106,0.12472640057341508,0.8015000000000001,0.9862,8.24038908759084e-05,0.0625,1.0,7.300779913583834
LRA-NPP,Noise-GN,Fs,5,0.016000000000000014,0.011570436465406104,0.0070000000000000505,0.024999999999999977,0.036499386669159195,0.0625,1.0,1.3828346102446223
LRA-NPP,Noise-GN,G,5,0.0009543418884277344,0.0024526907481812214,-0.0011574745178222657,0.0029501914978027344,0.43336834945867997,0.4375,0.36,0.3890999666938937
LRA-NPP,Noise-GN,Time,5,-0.08365373611450196,0.3187374983002574,-0.2774822723865509,0.20327939987182617,0.5888196915876385,0.625,-0.28,-0.26245338738179586
LRA-NPP,Noise-LN,At,5,-0.60152,0.4669993276226423,-0.92608,-0.18792000000000003,0.04500520208739879,0.125,-0.6,-1.2880532463765277
LRA-NPP,Noise-LN,Ag,5,0.30796888888888885,0.11936704427629621,0.21132888888888884,0.39307111111111104,0.004481029046356186,0.0625,1.0,2.5800160400725027
LRA-NPP,Noise-LN,Fr,5,0.5721999999999999,0.48225079056441167,0.19499999999999995,0.9399,0.056795409675757705,0.125,0.76,1.1865195686466672
LRA-NPP,Noise-LN,Fs,5,0.02140000000000004,0.007773351915358015,0.015400000000000035,0.027400000000000046,0.0035334829095282124,0.0625,1.0,2.752995134276566
LRA-NPP,Noise-LN,G,5,0.0015524864196777345,0.0015750441079548376,0.00034399032592773436,0.0028952598571777345,0.09223608109058283,0.125,0.44,0.9856780593234346
LRA-NPP,Noise-LN,Time,5,-0.6855029582977294,0.4019180969132933,-0.9822525024414063,-0.35566096305847167,0.018878605061459663,0.0625,-0.68,-1.7055787324889096
