dataset,seed,run_id,method,At,Ag,Fr,Fs,G,Time
cifar100,42,0,Retrain,0.0,0.9206464646464646,1.0,0.08999999999999997,5.475451469421387,477.59951162338257
cifar100,42,0,LRA-NPP,0.0,0.9693131313131313,1.0,0.05999999999999994,0.6799488067626953,10.286613702774048
cifar100,42,0,Noise-GN,0.0,0.09563636363636363,1.0,0.10499999999999998,0.6772580146789551,10.923304080963135
cifar100,42,0,Noise-LN,0.0,0.05062626262626262,1.0,0.06999999999999995,0.6778683662414551,16.417317152023315
cifar100,142,1,Retrain,0.0,0.9178787878787878,1.0,0.0,5.654491424560547,448.3230743408203
cifar100,142,1,LRA-NPP,0.0,0.9668484848484848,1.0,0.09000000000000002,0.6784076690673828,10.138204574584961
cifar100,142,1,Noise-GN,0.0,0.09404040404040404,1.0,0.020000000000000018,0.6760067939758301,10.197900533676147
cifar100,142,1,Noise-LN,0.0,0.05898989898989899,1.0,0.14499999999999996,0.6798214912414551,21.01082992553711
cifar100,242,2,Retrain,0.0,0.9208080808080809,1.0,0.015000000000000013,5.655590057373047,464.62623739242554
cifar100,242,2,LRA-NPP,0.0,0.9689696969696969,1.0,0.030000000000000027,0.6823291778564453,9.84328293800354
cifar100,242,2,Noise-GN,0.0,0.09771717171717172,1.0,0.08499999999999996,0.6768612861633301,10.123960256576538
cifar100,242,2,Noise-LN,0.0,0.04981818181818182,1.0,0.14500000000000002,0.6770138740539551,17.189412832260132
cifar100,342,3,Retrain,0.0,0.9198181818181819,1.0,0.025000000000000022,5.661418914794922,606.6150753498077
cifar100,342,3,LRA-NPP,0.0,0.9686666666666667,1.0,0.05499999999999994,0.6823902130126953,7.063326358795166
cifar100,342,3,Noise-GN,0.0,0.07337373737373737,1.0,0.034999999999999976,0.6808590888977051,7.518955707550049
cifar100,342,3,Noise-LN,0.066,0.039636363636363636,0.9,0.09499999999999997,0.6775631904602051,11.748740911483765
cifar100,442,4,Retrain,0.0,0.916989898989899,0.922,0.07499999999999996,5.654186248779297,465.40319180488586
cifar100,442,4,LRA-NPP,0.0,0.9691515151515151,1.0,0.03500000000000003,0.6783008575439453,6.982299566268921
cifar100,442,4,Noise-GN,0.0,0.08941414141414142,1.0,0.07999999999999996,0.6783261299133301,10.467855215072632
cifar100,442,4,Noise-LN,0.0,0.05266666666666667,1.0,0.025000000000000022,0.6804013252258301,20.260546684265137
