lhs,rhs,metric,n_runs,mean_diff,std_diff,ci95_low,ci95_high,p_paired_t,p_wilcoxon,cliffs_delta,cohens_dz
LRA-NPP,Retrain,At,5,0.0058823529411764705,0.013153341044116409,0.0,0.01764705882352941,0.373900966300059,1.0,0.2,0.447213595499958
LRA-NPP,Retrain,Ag,5,-0.005952175165658336,0.009067842618054194,-0.013316047248631602,0.0003284356093345098,0.21607678961917043,0.3125,-0.6,-0.6564047719363233
LRA-NPP,Retrain,Fr,5,-0.2588235294117647,0.27227733673019094,-0.48235294117647054,-0.0588235294117647,0.10070756955091287,0.125,-0.6,-0.9505878547219737
LRA-NPP,Retrain,Fs,5,-0.04285714285714286,0.04517539514526264,-0.0800000000000001,-0.011428571428571389,0.10119150721829583,0.125,-0.56,-0.9486832980505121
LRA-NPP,Retrain,G,5,-1.9957345962524413,0.23147032425076547,-2.099637031555176,-1.7886441230773926,4.266107460956233e-05,0.0625,-1.0,-8.621989029100526
LRA-NPP,Retrain,Time,5,-832.4428153514862,3.701425389600185,-835.5702414035798,-829.8033600330352,9.381194804708198e-11,0.0625,-1.0,-224.89790492343377
LRA-NPP,Noise-GN,At,5,-0.6117647058823529,0.3820134239203687,-0.8764705882352942,-0.29411764705882354,0.023149302595038272,0.125,-0.76,-1.601422011834527
LRA-NPP,Noise-GN,Ag,5,0.8304177470469606,0.0007195040756530949,0.8298357821953328,0.8309536156727167,1.3525625311619755e-13,0.0625,1.0,1154.1529438776133
LRA-NPP,Noise-GN,Fr,5,-0.3,0.38985846069716457,-0.6235294117647058,-0.023529411764705865,0.1604229289024932,0.3125,-0.28,-0.7695100408069248
LRA-NPP,Noise-GN,Fs,5,0.12285714285714291,0.1109329637618124,0.04571428571428578,0.21714285714285708,0.0684732411824168,0.125,0.68,1.1074899533103009
LRA-NPP,Noise-GN,G,5,0.5165654182434082,0.0013391000348445582,0.5155720710754395,0.5175587654113769,1.0838223956544054e-11,0.0625,1.0,385.75566037034025
LRA-NPP,Noise-GN,Time,5,-0.024451255798339844,0.3630616842228559,-0.3031959533691406,0.2806244289875017,0.8875854670483853,0.8125,-0.2,-0.067347387127007
LRA-NPP,Noise-LN,At,5,-0.49411764705882355,0.3284386888269089,-0.7352941176470589,-0.21764705882352944,0.028199025878246447,0.0625,-1.0,-1.5044440982993614
LRA-NPP,Noise-LN,Ag,5,0.8302103140305388,0.000608978511811691,0.8297896859694612,0.8307116104868915,6.948103936053713e-14,0.0625,1.0,1363.2834294278962
LRA-NPP,Noise-LN,Fr,5,-0.41764705882352937,0.34198686714702664,-0.7,-0.16470588235294115,0.05240140028223913,0.0625,-1.0,-1.221237126172962
LRA-NPP,Noise-LN,Fs,5,0.2942857142857144,0.12959906777190539,0.1971428571428572,0.40285714285714286,0.007092972874192967,0.0625,1.0,2.270739437753193
LRA-NPP,Noise-LN,G,5,0.5153487205505372,0.000932691080191706,0.5146889686584473,0.5161360740661621,2.574873098898535e-12,0.0625,1.0,552.5395615926894
LRA-NPP,Noise-LN,Time,5,-0.11535615921020508,0.22693378182651797,-0.29618172645568847,0.061101007461547854,0.3191596415304926,0.3125,-0.44,-0.5083251963711175
