dataset,seed,run_id,method,At,Ag,Fr,Fs,G,Time
imagenet,42,0,Retrain,0.0,0.8331028522039758,0.32352941176470584,0.5,4.3166937828063965,840.1181328296661
imagenet,42,0,LRA-NPP,0.029411764705882353,0.8311725727456064,0.08823529411764708,0.44285714285714284,2.7350244522094727,2.117361307144165
imagenet,42,0,Noise-GN,0.9411764705882353,0.00014405070584845865,0.05882352941176472,0.44285714285714284,2.2180161476135254,1.583799123764038
imagenet,42,0,Noise-LN,0.8529411764705882,0.0,0.1470588235294118,0.19999999999999996,2.2182602882385254,1.93064546585083
imagenet,142,1,Retrain,0.0,0.8269951022760011,0.47058823529411764,0.48571428571428577,4.833337306976318,833.6885259151459
imagenet,142,1,LRA-NPP,0.0,0.8307692307692308,0.08823529411764708,0.48571428571428577,2.7340188026428223,1.6120877265930176
imagenet,142,1,Noise-GN,0.0,0.001382886776145203,1.0,0.41428571428571437,2.2167038917541504,1.7016096115112305
imagenet,142,1,Noise-LN,0.6764705882352942,0.0010371650821089024,0.32352941176470584,0.17142857142857137,2.2191758155822754,1.618476390838623
imagenet,242,2,Retrain,0.0,0.8385767790262172,0.17647058823529416,0.44285714285714284,4.833581447601318,829.6129279136658
imagenet,242,2,LRA-NPP,0.0,0.8308268510515702,0.08823529411764708,0.41428571428571437,2.7334375381469727,1.324953317642212
imagenet,242,2,Noise-GN,0.9411764705882353,0.00020167098818784211,0.05882352941176472,0.29999999999999993,2.217740058898926,1.4334707260131836
imagenet,242,2,Noise-LN,0.058823529411764705,0.0006338231057332181,0.9411764705882353,0.2857142857142857,2.2181077003479004,1.7473199367523193
imagenet,342,3,Retrain,0.0,0.8336502448862,0.02941176470588236,0.5,4.831994533538818,834.911767244339
imagenet,342,3,LRA-NPP,0.0,0.8301930279458369,0.08823529411764708,0.48571428571428577,2.7335596084594727,1.258596658706665
imagenet,342,3,Noise-GN,0.6764705882352942,0.00020167098818784211,0.32352941176470584,0.357142857142857,2.215481758117676,1.73343825340271
imagenet,342,3,Noise-LN,0.6764705882352942,0.0005473926822241429,0.32352941176470584,1.1102230246251565e-16,2.218014717102051,1.4660167694091797
imagenet,442,4,Retrain,0.0,0.8515701526937483,0.7058823529411764,0.47142857142857153,4.831506252288818,831.5139851570129
imagenet,442,4,LRA-NPP,0.0,0.8311725727456064,0.05882352941176472,0.3571428571428571,2.7323999404907227,1.318263292312622
imagenet,442,4,Noise-GN,0.5294117647058824,0.00011524056467876692,0.47058823529411764,0.05714285714285722,2.2176713943481445,1.3012008666992188
imagenet,442,4,Noise-LN,0.23529411764705882,0.000864304235090752,0.7647058823529411,0.057142857142857106,2.2181382179260254,1.4455845355987549
