lhs,rhs,metric,n_runs,mean_diff,std_diff,ci95_low,ci95_high,p_paired_t,p_wilcoxon,cliffs_delta,cohens_dz
LRA-NPP,Retrain,At,5,0.015506607929515415,0.008184827603519712,0.011101321585903084,0.023083700440528633,0.013302260979618459,0.0625,1.0,1.8945552283651186
LRA-NPP,Retrain,Ag,5,-0.0034066553863508096,0.0006351128374623599,-0.0039029892836999424,-0.0029103214890016773,0.00027697391233154356,0.0625,-1.0,-5.36385849160655
LRA-NPP,Retrain,Fr,5,-0.015399999999999992,0.00379802580296661,-0.018900000000000007,-0.013199999999999967,0.0008202293724236033,0.0625,-1.0,-4.0547381189383085
LRA-NPP,Retrain,Fs,5,0.011101321585903101,0.023652326577806897,-0.007312775330396493,0.02898678414096919,0.35316837590336386,0.4375,0.52,0.4693543169795199
LRA-NPP,Retrain,G,5,-0.014850616455078125,0.010741304781595651,-0.019654273986816406,-0.0052433013916015625,0.03652028292081623,0.125,-0.6,-1.382570996451329
LRA-NPP,Retrain,Time,5,-27.787038946151732,1.8049360921200788,-29.038102436065675,-26.309851980209352,4.24864265678153e-06,0.0625,-1.0,-15.395026487343971
LRA-NPP,Noise-GN,At,5,-0.7774449339207049,0.35057256543990406,-0.9645814977973568,-0.454273127753304,0.007712687823083226,0.0625,-1.0,-2.2176433941576534
LRA-NPP,Noise-GN,Ag,5,0.4401579244218838,0.23497381234233847,0.23749576988155668,0.598127467569092,0.013821547103570737,0.0625,1.0,1.8732211902005833
LRA-NPP,Noise-GN,Fr,5,0.7819,0.3541638744987975,0.45660000000000006,0.9682999999999999,0.00783553248972916,0.0625,1.0,2.207735052330005
LRA-NPP,Noise-GN,Fs,5,0.017797356828193854,0.021384024062043813,-0.0007929515418502065,0.03330396475770929,0.13623945753490507,0.1875,0.8,0.8322735130000056
LRA-NPP,Noise-GN,G,5,0.0239715576171875,0.0,0.0239715576171875,0.0239715576171875,0.0,0.0625,1.0,0.0
LRA-NPP,Noise-GN,Time,5,0.08092422485351562,0.15476918622684643,-0.005236339569091797,0.2201381206512451,0.3072534460013994,0.4375,0.28,0.52287039058863
LRA-NPP,Noise-LN,At,5,-0.7362114537444935,0.32291235700184767,-0.9323348017621145,-0.44969162995594714,0.006992164509198218,0.0625,-1.0,-2.2799110587777256
LRA-NPP,Noise-LN,Ag,5,0.645482233502538,0.10725066619341912,0.5682571912013537,0.7353637901861252,0.00017638201698047933,0.0625,1.0,6.018444979525401
LRA-NPP,Noise-LN,Fr,5,0.7403000000000001,0.3206239230001405,0.4558000000000001,0.9304,0.006684459106247954,0.0625,1.0,2.308935631105966
LRA-NPP,Noise-LN,Fs,5,0.016740088105726858,0.015990036487120267,0.0037885462555066083,0.028810572687224634,0.07929537544912002,0.125,0.6,1.0469074363407955
LRA-NPP,Noise-LN,G,5,0.02387714385986328,0.0,0.02387714385986328,0.02387714385986328,0.0,0.0625,1.0,0.0
LRA-NPP,Noise-LN,Time,5,0.022260427474975586,0.1582209689059133,-0.06691083908081055,0.1672048568725586,0.7687941902265706,0.625,-0.36,0.14069201844044346
