dataset,seed,run_id,method,At,Ag,Fr,Fs,G,Time
mnist,42,0,Retrain,0.0,0.9861252115059221,1.0,0.022466960352422904,0.15558815002441406,28.83241367340088
mnist,42,0,LRA-NPP,0.01145374449339207,0.9834179357021997,0.9875,0.03083700440528625,0.15995216369628906,1.1599211692810059
mnist,42,0,Noise-GN,0.8519823788546256,0.5924421883812747,0.13749999999999996,0.002643171806167355,0.13598060607910156,0.8066511154174805
mnist,42,0,Noise-LN,0.9920704845814978,0.40428652002256066,0.011499999999999955,0.0008810572687224516,0.13607501983642578,0.8581457138061523
mnist,142,1,Retrain,0.0,0.9883812746756909,1.0,0.003083700440528636,0.17960643768310547,29.992231607437134
mnist,142,1,LRA-NPP,0.014096916299559472,0.9842075578116187,0.985,0.03920704845814993,0.15995216369628906,0.817216157913208
mnist,142,1,Noise-GN,0.9903083700440528,0.3643542019176537,0.016000000000000014,0.0008810572687225071,0.13598060607910156,0.8025624752044678
mnist,142,1,Noise-LN,0.8185022026431719,0.18003384094754654,0.16849999999999998,0.01674008810572697,0.13607501983642578,0.8478724956512451
mnist,242,2,Retrain,0.0,0.9872532430908065,1.0,0.01938325991189427,0.17960643768310547,30.240298748016357
mnist,242,2,LRA-NPP,0.010572687224669603,0.9839819514946418,0.986,0.01541850220264318,0.15995216369628906,0.792630672454834
mnist,242,2,Noise-GN,0.1682819383259912,0.9250987027636773,0.831,0.028634361233480177,0.13598060607910156,0.8088653087615967
mnist,242,2,Noise-LN,0.8052863436123348,0.2988155668358714,0.20099999999999996,0.02114537444933917,0.13607501983642578,0.8831455707550049
mnist,342,3,Retrain,0.0,0.987366046249295,1.0,0.026431718061673992,0.17960643768310547,28.551276206970215
mnist,342,3,LRA-NPP,0.029955947136563875,0.9844331641285956,0.978,0.007929515418502175,0.15995216369628906,0.8118414878845215
mnist,342,3,Noise-GN,0.9850220264317181,0.48719684151156234,0.010000000000000009,0.0030837004405285806,0.13598060607910156,0.8160245418548584
mnist,342,3,Noise-LN,0.9550660792951542,0.34957698815566834,0.039000000000000035,0.0017621145374449587,0.13607501983642578,0.8487904071807861
mnist,442,4,Retrain,0.0,0.9879300620417372,1.0,0.005286343612334765,0.17960643768310547,25.654923915863037
mnist,442,4,LRA-NPP,0.01145374449339207,0.9839819514946418,0.9865,0.03876651982378854,0.15995216369628906,0.7543399333953857
mnist,442,4,Noise-GN,0.9691629955947136,0.35014100394811054,0.019000000000000017,0.007929515418502175,0.13598060607910156,0.6972248554229736
mnist,442,4,Noise-LN,0.18766519823788547,0.45989847715736043,0.8015,0.007929515418502231,0.13607501983642578,0.7866930961608887
