dataset,seed,run_id,method,At,Ag,Fr,Fs,G,Time
mufac,42,0,Retrain,0.0,0.8675354251012146,0.9625,0.009999999999999953,8.969982147216797,123.67994832992554
mufac,42,0,LRA-NPP,0.06364922206506365,0.8612095141700404,0.46399999999999997,0.09999999999999998,1.0872111320495605,3.3356051445007324
mufac,142,1,Retrain,0.0,0.948254048582996,0.9805,0.007500000000000118,8.969982147216797,181.14465379714966
mufac,142,1,LRA-NPP,0.05704856199905705,0.8612095141700404,0.819,0.12250000000000005,1.0872111320495605,3.324765682220459
mufac,242,2,Retrain,0.0,0.9108046558704453,0.949,0.034999999999999976,8.969982147216797,178.91223883628845
mufac,242,2,LRA-NPP,0.07920792079207921,0.8612095141700404,0.39849999999999997,0.10999999999999999,1.0872111320495605,3.376368284225464
mufac,342,3,Retrain,0.0,0.9175101214574899,0.982,0.04625000000000001,8.969982147216797,182.27379035949707
mufac,342,3,LRA-NPP,0.09476661951909476,0.8612095141700404,0.897,0.13250000000000006,1.0872111320495605,4.043365478515625
mufac,442,4,Retrain,0.0,0.875,0.964,0.011250000000000093,8.969982147216797,123.33349013328552
mufac,442,4,LRA-NPP,0.06459217350306459,0.8612095141700404,0.528,0.08624999999999994,1.0872111320495605,3.3745155334472656
